source_id,route_id,candidate_id,LINK_ID,link_order,route_link_length_m,inside_seongnam,seongnam_position,found_in_ai_citywide_universe,ai_F_NODE,ai_T_NODE,ai_ROAD_NAME,ai_LENGTH_m,length_abs_diff_m,ai_UPDATEDATE,found_in_ai_segment_bridge,route_nodelink_dataset
OD_000004,OD_000004_A,A,2060194803,0,12.05,True,inside,True,2060060305,2060060304,대왕판교로645번길,12.053894252244,0.0038942522439988636,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060194802,1,224.15,True,inside,True,2060060304,2060060309,대왕판교로645번길,224.149264997619,0.0007350023809920003,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060181600,2,399.36,True,inside,True,2060060309,2060059804,대왕판교로,399.363954231297,0.003954231296972921,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060181601,3,5.68,True,inside,True,2060059804,2060059803,대왕판교로,5.681765425417,0.0017654254170000883,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060185300,4,232.57,True,inside,True,2060059803,2060059601,대왕판교로,232.574476369061,0.0044763690609954665,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060200900,5,150.94,True,inside,True,2060059601,2060065801,서현로,150.941066876856,0.001066876856015142,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060274800,6,130.76,True,inside,True,2060065801,2060094901,경부고속도로,130.758846248394,0.0011537516059831887,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060272900,7,858.04,True,inside,True,2060094901,2060004901,경부고속도로,858.042892677285,0.0028926772849899862,20250512,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040389500,8,600.86,True,inside,True,2060004901,2049185400,경부고속도로,600.862945021616,0.002945021616028498,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040389501,9,600.86,True,inside,True,2049185400,2040146001,경부고속도로,600.862945021616,0.002945021616028498,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040388700,10,514.94,True,inside,True,2040146001,2049186600,경부고속도로,514.941032479259,0.001032479258924468,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040388701,11,514.94,True,inside,True,2049186600,2040142801,경부고속도로,514.941032479168,0.0010324791679749978,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412000,12,907.98,True,inside,True,2040142801,2049187400,경부고속도로,907.975968633781,0.004031366219010124,20250512,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412002,13,614.4,True,inside,True,2049187400,2049203100,경부고속도로,614.404219705523,0.004219705523041739,20251223,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412004,14,53.91,True,inside,True,2049203100,2049203200,경부고속도로,53.905504153151,0.004495846848996621,20251223,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412003,15,239.67,True,inside,True,2049203200,1210085501,경부고속도로,239.666244775198,0.0037552248019778744,20251223,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210177500,16,612.06,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210177501,17,610.9,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000711,18,689.19,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000722,19,689.19,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000723,20,689.19,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000721,21,808.13,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000702,22,128.11,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002001,23,226.57,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002002,24,15.03,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002005,25,66.41,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002004,26,35.02,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002003,27,239.91,False,outside,False,,,,,,,True,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002900,28,288.56,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002903,29,77.06,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002904,30,426.87,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002902,31,110.09,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002901,32,174.84,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002905,33,39.94,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210002906,34,874.2,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210003700,35,331.88,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210044700,36,146.1,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210044500,37,165.14,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210043900,38,98.71,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210043901,39,21.6,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014202,40,97.46,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014204,41,12.0,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014201,42,84.36,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014207,43,119.86,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014208,44,124.24,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014205,45,46.27,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210014206,46,32.11,False,outside,False,,,,,,,False,[2026-08-12] NODELINKDATA / MOCT_LINK
