source_id,route_id,candidate_id,LINK_ID,link_order,route_link_length_m,inside_seongnam,seongnam_position,route_nodelink_dataset
OD_000004,OD_000004_A,A,2060194803,0,12.05,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060194802,1,224.15,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060181600,2,399.36,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060181601,3,5.68,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060185300,4,232.57,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060200900,5,150.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060274800,6,130.76,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2060272900,7,858.04,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040389500,8,600.86,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040389501,9,600.86,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040388700,10,514.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040388701,11,514.94,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412000,12,907.98,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412002,13,614.4,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412004,14,53.91,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,2040412003,15,239.67,True,inside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210177500,16,612.06,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210177501,17,610.9,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000711,18,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
OD_000004,OD_000004_A,A,1210000722,19,689.19,False,outside,[2026-08-12] NODELINKDATA / MOCT_LINK
