od_id,candidate_id,quality,coverage_percent,connectivity_percent,broken_connections,search_mode,recovery_used,virtual_bridge_count
OD_000518,C,recovered,85.05,96.97,1,controlled_recovery,True,1
OD_000113,C,recovered,85.06,97.92,1,controlled_recovery,True,1
OD_000308,C,recovered,85.07,97.92,1,controlled_recovery,True,1
OD_000478,C,recovered,85.11,98.31,1,controlled_recovery,True,1
OD_000287,A,review,85.17,100.0,0,strict,False,0
OD_000287,B,review,85.17,100.0,0,strict,False,0
OD_000122,C,review,85.21,100.0,0,wide,False,0
OD_000296,C,recovered,85.4,97.73,1,controlled_recovery,True,1
OD_000226,C,review,85.43,100.0,0,strict,False,0
OD_000019,C,review,85.45,100.0,0,wide,False,0
OD_000277,A,review,85.45,100.0,0,strict,False,0
OD_000305,C,review,85.5,100.0,0,wide,False,0
OD_000073,C,review,85.53,100.0,0,wide,False,0
OD_000156,C,recovered,85.64,98.8,1,controlled_recovery,True,1
OD_000075,C,recovered,85.71,98.78,1,controlled_recovery,True,1
OD_000049,C,review,85.73,100.0,0,wide,False,0
OD_000345,C,recovered,85.76,98.7,1,controlled_recovery,True,1
OD_000078,C,review,85.83,100.0,0,strict,False,0
OD_000458,B,review,85.84,100.0,0,wide,False,0
OD_000116,C,review,85.87,100.0,0,strict,False,0
OD_000039,C,recovered,85.92,98.94,1,controlled_recovery,True,1
OD_000094,C,recovered,85.95,98.94,1,controlled_recovery,True,1
OD_000328,C,recovered,85.95,98.85,1,controlled_recovery,True,1
OD_000084,C,recovered,85.96,98.94,1,controlled_recovery,True,1
OD_000510,B,review,85.96,100.0,0,wide,False,0
OD_000249,B,review,85.97,100.0,0,wide,False,0
OD_000444,A,review,85.97,100.0,0,strict,False,0
OD_000299,C,review,86.03,100.0,0,normal,False,0
OD_000503,B,review,86.03,100.0,0,strict,False,0
OD_000181,A,review,86.07,100.0,0,strict,False,0
OD_000181,B,review,86.07,100.0,0,strict,False,0
OD_000493,A,review,86.08,100.0,0,strict,False,0
OD_000455,A,review,86.1,100.0,0,strict,False,0
OD_000455,B,review,86.1,100.0,0,strict,False,0
OD_000107,C,recovered,86.12,98.72,1,controlled_recovery,True,1
OD_000349,A,review,86.12,100.0,0,strict,False,0
OD_000349,B,review,86.12,100.0,0,strict,False,0
OD_000349,C,review,86.12,100.0,0,strict,False,0
OD_000031,C,review,86.15,100.0,0,strict,False,0
OD_000574,C,recovered,86.15,97.83,1,controlled_recovery,True,1
OD_000474,C,recovered,86.21,97.14,1,controlled_recovery,True,1
OD_000202,C,recovered,86.3,98.78,1,controlled_recovery,True,1
OD_000182,C,recovered,86.33,97.92,1,controlled_recovery,True,1
OD_000468,C,recovered,86.4,97.92,1,controlled_recovery,True,1
OD_000246,C,recovered,86.43,100.0,0,controlled_recovery,True,0
OD_000290,C,recovered,86.44,97.83,1,controlled_recovery,True,1
OD_000042,C,recovered,86.46,98.94,1,controlled_recovery,True,1
OD_000055,C,recovered,86.48,97.3,1,controlled_recovery,True,1
OD_000078,B,review,86.5,100.0,0,strict,False,0
OD_000242,C,recovered,86.5,98.91,1,controlled_recovery,True,1
OD_000591,A,review,86.52,100.0,0,strict,False,0
OD_000041,C,recovered,86.58,97.3,1,controlled_recovery,True,1
OD_000207,A,review,86.63,100.0,0,strict,False,0
OD_000207,B,review,86.63,100.0,0,strict,False,0
OD_000417,C,recovered,86.64,100.0,0,controlled_recovery,True,0
OD_000448,A,recovered,86.64,97.14,1,controlled_recovery,True,1
OD_000448,C,recovered,86.64,97.14,1,controlled_recovery,True,1
OD_000366,B,review,86.65,100.0,0,strict,False,0
