od_id,route_candidate_id,mapping_quality,mapping_search_mode,mapping_coverage_percent,mapping_connectivity_percent,mapping_length_ratio,matched_link_count,route_distance_m,route_time_sec
OD_000001,A,good,strict,100.0,100.0,1.0052,95,16215,
OD_000001,B,good,strict,100.0,100.0,1.0058,77,19228,
OD_000001,C,good,strict,100.0,100.0,1.0042,132,16092,
OD_000002,A,review,wide,89.08,100.0,0.9968,80,24634,
OD_000002,B,good,strict,93.2,100.0,1.004,85,27235,
OD_000002,C,good,strict,96.21,100.0,0.98,142,22253,
OD_000003,A,recovered,controlled_recovery,93.91,98.63,0.9617,74,16508,
OD_000003,B,good,strict,98.97,100.0,0.9988,78,17591,
OD_000003,C,good,strict,96.22,100.0,1.0019,126,16127,
OD_000004,A,recovered,controlled_recovery,90.34,98.73,0.938,80,19110,
OD_000004,B,review,strict,87.64,100.0,0.9281,42,18370,
OD_000005,A,good,strict,98.6,100.0,0.9849,65,15377,
OD_000005,B,good,strict,99.0,100.0,1.002,73,17484,
OD_000005,C,good,normal,90.22,100.0,0.9821,108,14933,
OD_000006,A,good,wide,99.58,100.0,1.0089,64,19072,
OD_000006,B,good,wide,99.58,100.0,1.0089,64,19072,
OD_000006,C,good,strict,99.45,100.0,1.0098,110,14783,
OD_000007,A,good,strict,100.0,100.0,0.9986,66,15270,
OD_000007,B,good,strict,100.0,100.0,0.9986,66,15270,
OD_000007,C,good,strict,100.0,100.0,1.0014,70,15121,
OD_000008,A,good,strict,98.01,100.0,0.981,127,26017,
OD_000008,B,good,strict,92.36,100.0,0.99,88,33255,
OD_000008,C,recovered,controlled_recovery,88.84,100.0,0.9775,187,21901,
OD_000009,A,recovered,controlled_recovery,92.45,98.86,0.9942,89,26744,
OD_000009,B,good,strict,93.47,100.0,1.0038,81,28302,
OD_000009,C,good,strict,99.25,100.0,0.9946,153,22775,
OD_000010,A,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242,
OD_000010,B,good,wide,93.16,100.0,1.0055,90,27030,
OD_000010,C,good,strict,99.23,100.0,0.9961,169,22239,
OD_000011,A,good,strict,99.47,100.0,1.0055,68,15125,
OD_000011,B,good,strict,99.47,100.0,1.0055,68,15125,
OD_000011,C,good,strict,99.47,100.0,1.0054,93,15121,
OD_000012,A,good,strict,99.44,100.0,0.9969,64,14515,
OD_000012,B,good,strict,99.44,100.0,0.9969,64,14515,
OD_000012,C,good,strict,99.44,100.0,0.9979,64,14487,
OD_000013,A,good,strict,100.0,100.0,1.0044,103,15781,
OD_000013,B,good,wide,100.0,100.0,1.0039,72,19699,
OD_000013,C,good,strict,100.0,100.0,1.0034,118,15410,
OD_000014,A,good,strict,99.3,100.0,0.9926,74,19479,
OD_000014,B,good,strict,97.06,100.0,0.9742,74,20034,
OD_000014,C,good,strict,99.18,100.0,0.9927,132,16450,
OD_000015,A,good,strict,100.0,100.0,1.0114,72,15023,
OD_000015,B,good,strict,99.05,100.0,1.0091,67,15967,
OD_000015,C,good,strict,100.0,100.0,1.0113,97,15020,
OD_000016,A,good,strict,100.0,100.0,1.0209,91,16127,
OD_000016,B,good,wide,100.0,100.0,1.0089,72,19973,
OD_000016,C,good,strict,99.92,100.0,1.0216,130,15089,
OD_000017,A,good,strict,99.91,100.0,1.0075,90,14658,
OD_000017,B,good,wide,100.0,100.0,1.0104,66,18910,
OD_000017,C,good,strict,98.33,100.0,0.993,124,14559,
OD_000018,A,good,strict,100.0,100.0,1.0075,92,16526,
OD_000018,B,good,wide,99.07,100.0,1.0098,69,19640,
OD_000018,C,good,strict,99.92,100.0,1.0115,136,15304,
OD_000019,A,recovered,controlled_recovery,99.5,98.55,0.9933,70,17142,
OD_000019,B,recovered,controlled_recovery,99.5,98.55,0.9933,70,17142,
OD_000019,C,review,wide,85.45,100.0,0.9998,117,16489,
OD_000020,A,good,strict,99.3,100.0,0.9928,74,19474,
OD_000020,B,good,strict,99.3,100.0,0.9928,74,19474,
OD_000020,C,good,strict,99.18,100.0,0.993,132,16446,
OD_000021,A,recovered,controlled_recovery,93.3,98.48,0.9613,67,16129,
OD_000021,B,good,strict,98.51,100.0,0.9993,71,17211,
OD_000021,C,good,strict,95.66,100.0,0.9965,121,15925,
OD_000022,A,recovered,controlled_recovery,97.87,99.23,0.9868,131,24234,
OD_000022,B,good,strict,94.2,100.0,1.0093,103,29855,
OD_000022,C,recovered,controlled_recovery,99.45,99.35,0.998,156,22524,
OD_000023,A,recovered,controlled_recovery,93.42,98.78,0.9629,83,19160,
OD_000023,B,good,strict,90.82,100.0,0.9554,51,18358,
OD_000024,A,good,strict,100.0,100.0,1.0209,45,7249,
OD_000024,B,good,strict,100.0,100.0,1.0178,48,7428,
OD_000024,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
OD_000025,A,good,strict,95.82,100.0,0.9665,64,17232,
OD_000025,B,good,strict,95.82,100.0,0.9665,64,17232,
OD_000025,C,review,normal,89.53,100.0,0.9715,109,15248,
OD_000026,A,good,strict,95.57,100.0,0.964,64,17275,
OD_000026,B,good,strict,95.57,100.0,0.964,64,17275,
OD_000026,C,review,normal,89.56,100.0,0.9687,109,15292,
OD_000027,A,recovered,controlled_recovery,90.32,98.73,0.9378,80,19115,
OD_000027,B,review,strict,87.62,100.0,0.9279,42,18375,
OD_000028,A,good,strict,96.27,100.0,0.9723,94,15798,
OD_000028,B,good,wide,97.01,100.0,0.9782,63,19716,
OD_000028,C,good,strict,96.18,100.0,0.9705,109,15427,
OD_000029,A,good,strict,100.0,100.0,0.9982,67,15430,
OD_000029,B,good,strict,98.98,100.0,0.9999,73,17149,
OD_000029,C,good,normal,90.33,100.0,0.9807,109,15098,
OD_000030,A,recovered,controlled_recovery,95.89,99.21,0.9595,128,24294,
OD_000030,B,good,strict,90.98,100.0,0.9771,90,33495,
OD_000030,C,recovered,controlled_recovery,97.34,99.34,0.9778,152,22726,
OD_000031,C,review,strict,86.15,100.0,0.8485,14,1628,
OD_000032,A,review,strict,87.89,100.0,0.8912,64,11301,
OD_000032,B,review,strict,87.89,100.0,0.8912,64,11301,
OD_000032,C,good,strict,93.77,100.0,0.9834,53,10092,
OD_000033,A,good,strict,100.0,100.0,1.004,74,19231,
OD_000033,B,good,strict,100.0,100.0,1.004,74,19231,
OD_000033,C,good,strict,96.86,100.0,0.9938,123,15407,
OD_000034,A,recovered,controlled_recovery,96.07,98.41,0.9576,127,24166,
OD_000034,B,good,strict,90.54,100.0,0.9723,85,33042,
OD_000034,C,recovered,controlled_recovery,86.66,100.0,0.9509,184,22702,
OD_000035,A,recovered,controlled_recovery,99.5,98.57,1.0037,71,17322,
OD_000035,B,good,strict,99.6,100.0,0.9937,60,21500,
OD_000035,C,review,wide,89.15,100.0,1.019,135,16326,
OD_000036,A,good,strict,92.51,100.0,1.1267,13,1419,
OD_000036,B,good,strict,92.51,100.0,1.1267,13,1419,
OD_000036,C,good,strict,92.51,100.0,1.1267,13,1419,
OD_000037,A,good,normal,96.16,100.0,0.9701,62,15866,
OD_000037,B,good,strict,99.05,100.0,0.9965,66,15688,
OD_000037,C,good,strict,99.05,100.0,0.9965,66,15688,
OD_000038,A,good,wide,91.3,100.0,1.0022,88,24922,
OD_000038,B,good,strict,90.33,100.0,0.9757,79,27572,
OD_000038,C,good,strict,98.58,100.0,0.9866,150,22654,
