od_id,user_count,baseline_route_candidate_id,selection_reason,mapping_quality,mapping_search_mode,mapping_coverage_percent,mapping_connectivity_percent,mapping_length_ratio,matched_link_count,route_distance_m,route_time_sec,baseline_assumption
OD_000001,36,A,tmap_default_route_a,good,strict,100.0,100.0,1.0052,95,16215.0,,TMAP default Route A; fallback B then C when unusable
OD_000002,33,A,tmap_default_route_a,review,wide,89.08,100.0,0.9968,80,24634.0,,TMAP default Route A; fallback B then C when unusable
OD_000003,32,A,tmap_default_route_a,recovered,controlled_recovery,93.91,98.63,0.9617,74,16508.0,,TMAP default Route A; fallback B then C when unusable
OD_000004,32,A,tmap_default_route_a,recovered,controlled_recovery,90.34,98.73,0.938,80,19110.0,,TMAP default Route A; fallback B then C when unusable
OD_000005,31,A,tmap_default_route_a,good,strict,98.6,100.0,0.9849,65,15377.0,,TMAP default Route A; fallback B then C when unusable
OD_000006,31,A,tmap_default_route_a,good,wide,99.58,100.0,1.0089,64,19072.0,,TMAP default Route A; fallback B then C when unusable
OD_000007,30,A,tmap_default_route_a,good,strict,100.0,100.0,0.9986,66,15270.0,,TMAP default Route A; fallback B then C when unusable
OD_000008,30,A,tmap_default_route_a,good,strict,98.01,100.0,0.981,127,26017.0,,TMAP default Route A; fallback B then C when unusable
OD_000009,29,A,tmap_default_route_a,recovered,controlled_recovery,92.45,98.86,0.9942,89,26744.0,,TMAP default Route A; fallback B then C when unusable
OD_000010,29,A,tmap_default_route_a,recovered,controlled_recovery,92.0,98.81,0.9948,85,25242.0,,TMAP default Route A; fallback B then C when unusable
OD_000011,29,A,tmap_default_route_a,good,strict,99.47,100.0,1.0055,68,15125.0,,TMAP default Route A; fallback B then C when unusable
OD_000012,29,A,tmap_default_route_a,good,strict,99.44,100.0,0.9969,64,14515.0,,TMAP default Route A; fallback B then C when unusable
OD_000013,28,A,tmap_default_route_a,good,strict,100.0,100.0,1.0044,103,15781.0,,TMAP default Route A; fallback B then C when unusable
OD_000014,28,A,tmap_default_route_a,good,strict,99.3,100.0,0.9926,74,19479.0,,TMAP default Route A; fallback B then C when unusable
OD_000015,28,A,tmap_default_route_a,good,strict,100.0,100.0,1.0114,72,15023.0,,TMAP default Route A; fallback B then C when unusable
OD_000016,27,A,tmap_default_route_a,good,strict,100.0,100.0,1.0209,91,16127.0,,TMAP default Route A; fallback B then C when unusable
OD_000017,27,A,tmap_default_route_a,good,strict,99.91,100.0,1.0075,90,14658.0,,TMAP default Route A; fallback B then C when unusable
OD_000018,27,A,tmap_default_route_a,good,strict,100.0,100.0,1.0075,92,16526.0,,TMAP default Route A; fallback B then C when unusable
OD_000019,27,A,tmap_default_route_a,recovered,controlled_recovery,99.5,98.55,0.9933,70,17142.0,,TMAP default Route A; fallback B then C when unusable
OD_000020,27,A,tmap_default_route_a,good,strict,99.3,100.0,0.9928,74,19474.0,,TMAP default Route A; fallback B then C when unusable
OD_000021,27,A,tmap_default_route_a,recovered,controlled_recovery,93.3,98.48,0.9613,67,16129.0,,TMAP default Route A; fallback B then C when unusable
OD_000022,26,A,tmap_default_route_a,recovered,controlled_recovery,97.87,99.23,0.9868,131,24234.0,,TMAP default Route A; fallback B then C when unusable
OD_000023,26,A,tmap_default_route_a,recovered,controlled_recovery,93.42,98.78,0.9629,83,19160.0,,TMAP default Route A; fallback B then C when unusable
OD_000024,26,A,tmap_default_route_a,good,strict,100.0,100.0,1.0209,45,7249.0,,TMAP default Route A; fallback B then C when unusable
OD_000025,26,A,tmap_default_route_a,good,strict,95.82,100.0,0.9665,64,17232.0,,TMAP default Route A; fallback B then C when unusable
OD_000026,26,A,tmap_default_route_a,good,strict,95.57,100.0,0.964,64,17275.0,,TMAP default Route A; fallback B then C when unusable
OD_000027,26,A,tmap_default_route_a,recovered,controlled_recovery,90.32,98.73,0.9378,80,19115.0,,TMAP default Route A; fallback B then C when unusable
OD_000028,26,A,tmap_default_route_a,good,strict,96.27,100.0,0.9723,94,15798.0,,TMAP default Route A; fallback B then C when unusable
OD_000029,26,A,tmap_default_route_a,good,strict,100.0,100.0,0.9982,67,15430.0,,TMAP default Route A; fallback B then C when unusable
