evaluation_id,user_id,od_id,origin_location_id,destination_location_id,planned_departure_time,adjustable_minutes,candidate_index,candidate_departure_time,offset_minutes,is_original_time,route_candidate_id,mapping_quality,mapping_search_mode,mapping_coverage_percent,mapping_connectivity_percent,mapping_length_ratio,matched_link_count,route_distance_m,route_time_sec
EVAL_000000001,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,0,18:00,-15,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000002,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,0,18:00,-15,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000003,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,0,18:00,-15,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000004,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,1,18:05,-10,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000005,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,1,18:05,-10,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000006,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,1,18:05,-10,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000007,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,2,18:10,-5,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000008,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,2,18:10,-5,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000009,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,2,18:10,-5,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000010,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,3,18:15,0,True,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000011,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,3,18:15,0,True,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000012,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,3,18:15,0,True,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000013,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,4,18:20,5,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000014,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,4,18:20,5,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000015,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,4,18:20,5,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000016,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,5,18:25,10,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000017,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,5,18:25,10,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000018,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,5,18:25,10,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000019,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,6,18:30,15,False,A,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000020,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,6,18:30,15,False,B,review,strict,87.89,100.0,0.8912,64,11301,
EVAL_000000021,user_00003,OD_000032,ORG_012,EXT_010,18:15,15,6,18:30,15,False,C,good,strict,93.77,100.0,0.9834,53,10092,
EVAL_000000022,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,0,17:30,-60,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000023,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,0,17:30,-60,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000024,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,0,17:30,-60,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000025,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,1,17:35,-55,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000026,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,1,17:35,-55,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000027,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,1,17:35,-55,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000028,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,2,17:40,-50,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000029,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,2,17:40,-50,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000030,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,2,17:40,-50,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000031,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,3,17:45,-45,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000032,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,3,17:45,-45,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000033,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,3,17:45,-45,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000034,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,4,17:50,-40,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000035,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,4,17:50,-40,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000036,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,4,17:50,-40,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000037,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,5,17:55,-35,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000038,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,5,17:55,-35,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000039,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,5,17:55,-35,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000040,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,6,18:00,-30,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000041,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,6,18:00,-30,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000042,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,6,18:00,-30,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000043,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,7,18:05,-25,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000044,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,7,18:05,-25,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000045,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,7,18:05,-25,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000046,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,8,18:10,-20,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000047,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,8,18:10,-20,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000048,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,8,18:10,-20,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000049,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,9,18:15,-15,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000050,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,9,18:15,-15,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000051,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,9,18:15,-15,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000052,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,10,18:20,-10,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000053,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,10,18:20,-10,False,B,good,strict,100.0,100.0,1.0178,48,7428,
EVAL_000000054,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,10,18:20,-10,False,C,recovered,controlled_recovery,92.34,98.44,1.0501,65,7222,
EVAL_000000055,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,11,18:25,-5,False,A,good,strict,100.0,100.0,1.0209,45,7249,
EVAL_000000056,user_00015,OD_000024,ORG_003,HOME_026,18:30,60,11,18:25,-5,False,B,good,strict,100.0,100.0,1.0178,48,7428,
