od_id,origin_location_id,origin_name,origin_resolved_name,origin_address,origin_lat,origin_lon,origin_poi_id,destination_location_id,destination_name,destination_resolved_name,destination_address,destination_lat,destination_lon,destination_poi_id,destination_region,user_count
OD_000001,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,EXT_012,경기광주역,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,gwangju,36
OD_000002,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_013,미사역,미사역[5호선],경기 하남시 망월동,37.56309735,127.19289048,8467712,hanam,33
OD_000003,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_006,교대역,교대역[2호선],서울 서초구 서초동,37.49399104,127.01435314,280182,seoul,32
OD_000004,ORG_014,경기창조경제혁신센터,경기창조경제혁신센터,경기 성남시 분당구 삼평동,37.40047572,127.10393097,6289967,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,32
OD_000005,ORG_013,차바이오컴플렉스,차바이오컴플렉스,경기 성남시 분당구 삼평동,37.4041421,127.11129131,2849159,EXT_001,강남역,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,seoul,31
OD_000006,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,31
OD_000007,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,EXT_005,선릉역,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,seoul,30
OD_000008,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,EXT_009,수원역,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,suwon,30
OD_000009,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,EXT_013,미사역,미사역[5호선],경기 하남시 망월동,37.56309735,127.19289048,8467712,hanam,29
OD_000010,ORG_012,한국파스퇴르연구소,한국파스퇴르연구소,경기 성남시 분당구 삼평동,37.40647501,127.10270869,1587122,EXT_013,미사역,미사역[5호선],경기 하남시 망월동,37.56309735,127.19289048,8467712,hanam,29
OD_000011,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,EXT_004,삼성역,삼성역[2호선],서울 강남구 삼성동,37.50824028,127.06379268,280178,seoul,29
OD_000012,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,EXT_005,선릉역,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,seoul,29
OD_000013,ORG_002,넥슨코리아,넥슨코리아,경기 성남시 분당구 삼평동,37.40230883,127.10306989,2906347,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,28
OD_000014,ORG_006,네오위즈 판교타워,네오위즈판교타워,경기 성남시 분당구 삼평동,37.40047572,127.10387542,5387232,EXT_012,경기광주역,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,gwangju,28
OD_000015,ORG_010,웹젠,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,EXT_004,삼성역,삼성역[2호선],서울 강남구 삼성동,37.50824028,127.06379268,280178,seoul,28
OD_000016,ORG_001,LIG넥스원 판교하우스,LIG 디펜스&에어로스페이스 판교하우스R&D센터,경기 성남시 분당구 삼평동,37.4045865,127.11190235,2506828,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,27
OD_000017,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,27
OD_000018,ORG_009,스마일게이트,스마일게이트캠퍼스,경기 성남시 분당구 삼평동,37.40258673,127.11179131,2819486,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,27
OD_000019,ORG_012,한국파스퇴르연구소,한국파스퇴르연구소,경기 성남시 분당구 삼평동,37.40647501,127.10270869,1587122,EXT_008,광교중앙역,광교중앙역[신분당선],경기 수원시 영통구 이의동,37.28845999,127.05163331,6518966,suwon,27
OD_000020,ORG_014,경기창조경제혁신센터,경기창조경제혁신센터,경기 성남시 분당구 삼평동,37.40047572,127.10393097,6289967,EXT_012,경기광주역,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,gwangju,27
OD_000021,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,EXT_006,교대역,교대역[2호선],서울 서초구 서초동,37.49399104,127.01435314,280182,seoul,27
OD_000022,ORG_001,LIG넥스원 판교하우스,LIG 디펜스&에어로스페이스 판교하우스R&D센터,경기 성남시 분당구 삼평동,37.4045865,127.11190235,2506828,EXT_009,수원역,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,suwon,26
OD_000023,ORG_002,넥슨코리아,넥슨코리아,경기 성남시 분당구 삼평동,37.40230883,127.10306989,2906347,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,26
OD_000024,ORG_003,엔씨소프트 판교 R&D센터,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,HOME_026,신흥역 하늘채 랜더스원 3단지,신흥역하늘채랜더스원3단지아파트,경기 성남시 중원구 중앙동,37.44002753,127.15028675,8922214,seongnam,26
OD_000025,ORG_005,NHN Play Museum,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,EXT_001,강남역,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,seoul,26
OD_000026,ORG_006,네오위즈 판교타워,네오위즈판교타워,경기 성남시 분당구 삼평동,37.40047572,127.10387542,5387232,EXT_001,강남역,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,seoul,26
OD_000027,ORG_006,네오위즈 판교타워,네오위즈판교타워,경기 성남시 분당구 삼평동,37.40047572,127.10387542,5387232,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,26
OD_000028,ORG_006,네오위즈 판교타워,네오위즈판교타워,경기 성남시 분당구 삼평동,37.40047572,127.10387542,5387232,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,26
OD_000029,ORG_009,스마일게이트,스마일게이트캠퍼스,경기 성남시 분당구 삼평동,37.40258673,127.11179131,2819486,EXT_001,강남역,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,seoul,26
OD_000030,ORG_011,유라코퍼레이션,유라코퍼레이션,경기 성남시 분당구 삼평동,37.40258667,127.10826385,2264999,EXT_009,수원역,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,suwon,26
OD_000031,ORG_011,유라코퍼레이션,유라코퍼레이션,경기 성남시 분당구 삼평동,37.40258667,127.10826385,2264999,HOME_019,판교알파리움2단지,판교알파리움2단지아파트,경기 성남시 분당구 백현동,37.39333776,127.1094029,5391791,seongnam,26
OD_000032,ORG_012,한국파스퇴르연구소,한국파스퇴르연구소,경기 성남시 분당구 삼평동,37.40647501,127.10270869,1587122,EXT_010,죽전역,죽전역[수인분당선],경기 용인시 수지구 죽전동,37.32548448,127.10726611,1167140,yongin,26
OD_000033,ORG_013,차바이오컴플렉스,차바이오컴플렉스,경기 성남시 분당구 삼평동,37.4041421,127.11129131,2849159,EXT_012,경기광주역,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,gwangju,26
OD_000034,ORG_014,경기창조경제혁신센터,경기창조경제혁신센터,경기 성남시 분당구 삼평동,37.40047572,127.10393097,6289967,EXT_009,수원역,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,suwon,26
OD_000035,ORG_001,LIG넥스원 판교하우스,LIG 디펜스&에어로스페이스 판교하우스R&D센터,경기 성남시 분당구 삼평동,37.4045865,127.11190235,2506828,EXT_008,광교중앙역,광교중앙역[신분당선],경기 수원시 영통구 이의동,37.28845999,127.05163331,6518966,suwon,25
OD_000036,ORG_003,엔씨소프트 판교 R&D센터,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,HOME_009,판교백현마을7단지,백현마을7단지휴먼시아아파트,경기 성남시 분당구 백현동,37.38956044,127.11026404,1577384,seongnam,25
OD_000037,ORG_004,안랩,안랩,경기 성남시 분당구 삼평동,37.40083691,127.11023594,981514,EXT_004,삼성역,삼성역[2호선],서울 강남구 삼성동,37.50824028,127.06379268,280178,seoul,25
OD_000038,ORG_004,안랩,안랩,경기 성남시 분당구 삼평동,37.40083691,127.11023594,981514,EXT_013,미사역,미사역[5호선],경기 하남시 망월동,37.56309735,127.19289048,8467712,hanam,25
OD_000039,ORG_005,NHN Play Museum,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,EXT_002,잠실역,잠실역[2호선],서울 송파구 신천동,37.5140458,127.09934484,624344,seoul,25
OD_000040,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,25
OD_000041,ORG_008,카카오게임즈,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,HOME_021,성남 센트럴타운,센트럴타운아파트,경기 성남시 중원구 여수동,37.41864076,127.13056693,2821057,seongnam,25
OD_000042,ORG_010,웹젠,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,EXT_002,잠실역,잠실역[2호선],서울 송파구 신천동,37.5140458,127.09934484,624344,seoul,25
OD_000043,ORG_010,웹젠,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,HOME_007,판교원마을7단지,판교원마을7단지아파트,경기 성남시 분당구 판교동,37.38642159,127.09237686,4084589,seongnam,25
OD_000044,ORG_010,웹젠,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,HOME_012,산운12단지 판교센트럴포레,산운마을12단지판교센트럴포레아파트,경기 성남시 분당구 운중동,37.38969861,127.07129535,1577445,seongnam,25
OD_000045,ORG_011,유라코퍼레이션,유라코퍼레이션,경기 성남시 분당구 삼평동,37.40258667,127.10826385,2264999,EXT_005,선릉역,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,seoul,25
OD_000046,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,EXT_009,수원역,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,suwon,25
OD_000047,ORG_015,유스페이스1,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,HOME_024,성남두산,성남두산아파트,경기 성남시 수정구 신흥동,37.44436034,127.14931449,374599,seongnam,25
OD_000048,ORG_004,안랩,안랩,경기 성남시 분당구 삼평동,37.40083691,127.11023594,981514,EXT_005,선릉역,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,seoul,24
OD_000049,ORG_005,NHN Play Museum,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,EXT_008,광교중앙역,광교중앙역[신분당선],경기 수원시 영통구 이의동,37.28845999,127.05163331,6518966,suwon,24
OD_000050,ORG_005,NHN Play Museum,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,HOME_015,산운마을14단지경남아너스빌아파트,산운마을경남아너스빌14단지아파트,경기 성남시 분당구 운중동,37.3841993,127.07415636,1577453,seongnam,24
OD_000051,ORG_005,NHN Play Museum,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,HOME_024,성남두산,성남두산아파트,경기 성남시 수정구 신흥동,37.44436034,127.14931449,374599,seongnam,24
OD_000052,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_001,강남역,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,seoul,24
OD_000053,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_008,광교중앙역,광교중앙역[신분당선],경기 수원시 영통구 이의동,37.28845999,127.05163331,6518966,suwon,24
OD_000054,ORG_007,위메이드 판교 사옥,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,EXT_012,경기광주역,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,gwangju,24
OD_000055,ORG_010,웹젠,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,HOME_021,성남 센트럴타운,센트럴타운아파트,경기 성남시 중원구 여수동,37.41864076,127.13056693,2821057,seongnam,24
OD_000056,ORG_011,유라코퍼레이션,유라코퍼레이션,경기 성남시 분당구 삼평동,37.40258667,127.10826385,2264999,HOME_003,봇들마을3단지아파트,판교봇들마을3단지아파트,경기 성남시 분당구 삼평동,37.40269792,127.1166242,1565444,seongnam,24
OD_000057,ORG_013,차바이오컴플렉스,차바이오컴플렉스,경기 성남시 분당구 삼평동,37.4041421,127.11129131,2849159,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,24
OD_000058,ORG_013,차바이오컴플렉스,차바이오컴플렉스,경기 성남시 분당구 삼평동,37.4041421,127.11129131,2849159,EXT_011,기흥역,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,yongin,24
OD_000059,ORG_001,LIG넥스원 판교하우스,LIG 디펜스&에어로스페이스 판교하우스R&D센터,경기 성남시 분당구 삼평동,37.4045865,127.11190235,2506828,EXT_005,선릉역,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,seoul,23
OD_000060,ORG_002,넥슨코리아,넥슨코리아,경기 성남시 분당구 삼평동,37.40230883,127.10306989,2906347,EXT_003,수서역,수서역,서울 강남구 수서동,37.48366056,127.10606731,6820888,seoul,23
OD_000061,ORG_003,엔씨소프트 판교 R&D센터,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,EXT_004,삼성역,삼성역[2호선],서울 강남구 삼성동,37.50824028,127.06379268,280178,seoul,23
OD_000062,ORG_003,엔씨소프트 판교 R&D센터,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,EXT_007,사당역,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,seoul,23
OD_000063,ORG_003,엔씨소프트 판교 R&D센터,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,HOME_008,판교봇들마을9단지금호어울림아파트,봇들마을9단지금호어울림아파트,경기 성남시 분당구 삼평동,37.39642089,127.11790204,1577338,seongnam,23
