od_id,origin_location_id,origin_name,destination_location_id,destination_name,destination_region,user_count
OD_000001,ORG_008,카카오게임즈,EXT_012,경기광주역,gwangju,36
OD_000002,ORG_007,위메이드 판교 사옥,EXT_013,미사역,hanam,33
OD_000003,ORG_007,위메이드 판교 사옥,EXT_006,교대역,seoul,32
OD_000004,ORG_014,경기창조경제혁신센터,EXT_007,사당역,seoul,32
OD_000005,ORG_013,차바이오컴플렉스,EXT_001,강남역,seoul,31
OD_000006,ORG_015,유스페이스1,EXT_011,기흥역,yongin,31
OD_000007,ORG_008,카카오게임즈,EXT_005,선릉역,seoul,30
OD_000008,ORG_008,카카오게임즈,EXT_009,수원역,suwon,30
OD_000009,ORG_008,카카오게임즈,EXT_013,미사역,hanam,29
OD_000010,ORG_012,한국파스퇴르연구소,EXT_013,미사역,hanam,29
OD_000011,ORG_015,유스페이스1,EXT_004,삼성역,seoul,29
OD_000012,ORG_015,유스페이스1,EXT_005,선릉역,seoul,29
OD_000013,ORG_002,넥슨코리아,EXT_011,기흥역,yongin,28
OD_000014,ORG_006,네오위즈 판교타워,EXT_012,경기광주역,gwangju,28
OD_000015,ORG_010,웹젠,EXT_004,삼성역,seoul,28
OD_000016,ORG_001,LIG넥스원 판교하우스,EXT_011,기흥역,yongin,27
OD_000017,ORG_008,카카오게임즈,EXT_011,기흥역,yongin,27
OD_000018,ORG_009,스마일게이트,EXT_011,기흥역,yongin,27
OD_000019,ORG_012,한국파스퇴르연구소,EXT_008,광교중앙역,suwon,27
OD_000020,ORG_014,경기창조경제혁신센터,EXT_012,경기광주역,gwangju,27
OD_000021,ORG_015,유스페이스1,EXT_006,교대역,seoul,27
OD_000022,ORG_001,LIG넥스원 판교하우스,EXT_009,수원역,suwon,26
OD_000023,ORG_002,넥슨코리아,EXT_007,사당역,seoul,26
OD_000024,ORG_003,엔씨소프트 판교 R&D센터,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,26
OD_000025,ORG_005,NHN Play Museum,EXT_001,강남역,seoul,26
OD_000026,ORG_006,네오위즈 판교타워,EXT_001,강남역,seoul,26
OD_000027,ORG_006,네오위즈 판교타워,EXT_007,사당역,seoul,26
OD_000028,ORG_006,네오위즈 판교타워,EXT_011,기흥역,yongin,26
