route_id,od_id,user_count,candidate_id,route_label,search_option,total_distance_m,tmap_eta_sec,tmap_eta_min,geometry_point_count,mapping_status,mapping_quality,mapping_search_mode,mapping_connectivity_percent,mapping_coverage_percent,mapping_length_ratio,matched_link_count,is_usable,inside_link_count,boundary_crossing_link_count,outside_link_count,seongnam_distance_m,outside_distance_m,seongnam_distance_ratio_percent,ai_supported_link_count,tmap_fallback_link_count,outside_seongnam_link_count,ai_link_coverage_percent,ai_distance_coverage_percent,model_supported_link_universe_count
OD_000001_A,OD_000001,36,A,traffic_optimal,0,16215.0,1759.0,29.3,437,mapped,good,strict,100.0,100.0,1.0052,95,True,63,0,32,9229.08,7070.55,56.62,0,63,32,0.0,0.0,355
OD_000001_B,OD_000001,36,B,minimum_time,2,19228.0,1421.0,23.7,508,mapped,good,strict,100.0,100.0,1.0058,77,True,45,0,32,12267.92,7070.55,63.44,3,42,32,6.67,7.62,355
OD_000001_C,OD_000001,36,C,shortest,10,16092.0,2588.0,43.1,588,mapped,good,strict,100.0,100.0,1.0042,132,True,64,1,67,8260.46,7898.87,51.12,0,65,67,0.0,0.0,355
OD_000002_A,OD_000002,33,A,traffic_optimal,0,24634.0,1989.0,33.1,591,mapped,review,wide,100.0,89.08,0.9968,80,True,22,1,57,7975.54,16578.39,32.48,9,14,57,39.13,49.52,355
OD_000002_B,OD_000002,33,B,minimum_time,2,27235.0,1685.0,28.1,742,mapped,good,strict,100.0,93.2,1.004,85,True,38,1,46,11516.52,15826.26,42.12,2,37,46,5.13,7.13,355
OD_000002_C,OD_000002,33,C,shortest,10,22253.0,3115.0,51.9,588,mapped,good,strict,100.0,96.21,0.98,142,True,22,1,119,7975.54,13831.37,36.57,9,14,119,39.13,49.52,355
OD_000003_A,OD_000003,32,A,traffic_optimal,0,16508.0,1208.0,20.1,303,mapped,recovered,controlled_recovery,98.63,93.91,0.9617,74,True,24,0,50,6387.52,9488.36,40.23,4,20,50,16.67,35.32,355
OD_000003_B,OD_000003,32,B,minimum_time,2,17591.0,1270.0,21.2,293,mapped,good,strict,100.0,98.97,0.9988,78,True,24,0,54,6387.52,11182.5,36.35,4,20,54,16.67,35.32,355
OD_000003_C,OD_000003,32,C,shortest,10,16127.0,2495.0,41.6,513,mapped,good,strict,100.0,96.22,1.0019,126,True,45,1,80,6152.44,10004.2,38.08,3,43,80,6.52,10.9,355
OD_000004_A,OD_000004,32,A,traffic_optimal,0,19110.0,1408.0,23.5,395,mapped,recovered,controlled_recovery,98.73,90.34,0.938,80,True,16,0,64,6061.13,11864.48,33.81,5,11,64,31.25,43.82,355
