od_id,user_count,origin_location_id,origin_name,origin_lat,origin_lon,destination_location_id,destination_name,destination_region,destination_lat,destination_lon,route_candidate_count
OD_000001,36,ORG_008,카카오게임즈,37.39447653,127.10987504,EXT_012,경기광주역,gwangju,37.39925633,127.25308413,3
OD_000002,33,ORG_007,위메이드 판교 사옥,37.40133688,127.11176357,EXT_013,미사역,hanam,37.56309735,127.19289048,3
OD_000003,32,ORG_007,위메이드 판교 사옥,37.40133688,127.11176357,EXT_006,교대역,seoul,37.49399104,127.01435314,3
OD_000004,32,ORG_014,경기창조경제혁신센터,37.40047572,127.10393097,EXT_007,사당역,seoul,37.47654804,126.98160661,3
OD_000005,31,ORG_013,차바이오컴플렉스,37.4041421,127.11129131,EXT_001,강남역,seoul,37.49804637,127.0279629,3
OD_000006,31,ORG_015,유스페이스1,37.40011472,127.10762509,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000007,30,ORG_008,카카오게임즈,37.39447653,127.10987504,EXT_005,선릉역,seoul,37.50451822,127.04893303,3
OD_000008,30,ORG_008,카카오게임즈,37.39447653,127.10987504,EXT_009,수원역,suwon,37.26435073,126.99924985,3
OD_000009,29,ORG_008,카카오게임즈,37.39447653,127.10987504,EXT_013,미사역,hanam,37.56309735,127.19289048,3
OD_000010,29,ORG_012,한국파스퇴르연구소,37.40647501,127.10270869,EXT_013,미사역,hanam,37.56309735,127.19289048,3
OD_000011,29,ORG_015,유스페이스1,37.40011472,127.10762509,EXT_004,삼성역,seoul,37.50824028,127.06379268,3
OD_000012,29,ORG_015,유스페이스1,37.40011472,127.10762509,EXT_005,선릉역,seoul,37.50451822,127.04893303,3
OD_000013,28,ORG_002,넥슨코리아,37.40230883,127.10306989,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000014,28,ORG_006,네오위즈 판교타워,37.40047572,127.10387542,EXT_012,경기광주역,gwangju,37.39925633,127.25308413,3
OD_000015,28,ORG_010,웹젠,37.40222547,127.10090342,EXT_004,삼성역,seoul,37.50824028,127.06379268,3
OD_000016,27,ORG_001,LIG넥스원 판교하우스,37.4045865,127.11190235,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000017,27,ORG_008,카카오게임즈,37.39447653,127.10987504,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000018,27,ORG_009,스마일게이트,37.40258673,127.11179131,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000019,27,ORG_012,한국파스퇴르연구소,37.40647501,127.10270869,EXT_008,광교중앙역,suwon,37.28845999,127.05163331,3
OD_000020,27,ORG_014,경기창조경제혁신센터,37.40047572,127.10393097,EXT_012,경기광주역,gwangju,37.39925633,127.25308413,3
OD_000021,27,ORG_015,유스페이스1,37.40011472,127.10762509,EXT_006,교대역,seoul,37.49399104,127.01435314,3
OD_000022,26,ORG_001,LIG넥스원 판교하우스,37.4045865,127.11190235,EXT_009,수원역,suwon,37.26435073,126.99924985,3
OD_000023,26,ORG_002,넥슨코리아,37.40230883,127.10306989,EXT_007,사당역,seoul,37.47654804,126.98160661,3
OD_000024,26,ORG_003,엔씨소프트 판교 R&D센터,37.39975366,127.10809728,HOME_026,신흥역 하늘채 랜더스원 3단지,seongnam,37.44002753,127.15028675,3
OD_000025,26,ORG_005,NHN Play Museum,37.4007257,127.10412539,EXT_001,강남역,seoul,37.49804637,127.0279629,3
OD_000026,26,ORG_006,네오위즈 판교타워,37.40047572,127.10387542,EXT_001,강남역,seoul,37.49804637,127.0279629,3
OD_000027,26,ORG_006,네오위즈 판교타워,37.40047572,127.10387542,EXT_007,사당역,seoul,37.47654804,126.98160661,3
OD_000028,26,ORG_006,네오위즈 판교타워,37.40047572,127.10387542,EXT_011,기흥역,yongin,37.27601815,127.11693329,3
OD_000029,26,ORG_009,스마일게이트,37.40258673,127.11179131,EXT_001,강남역,seoul,37.49804637,127.0279629,3
OD_000030,26,ORG_011,유라코퍼레이션,37.40258667,127.10826385,EXT_009,수원역,suwon,37.26435073,126.99924985,3
OD_000031,26,ORG_011,유라코퍼레이션,37.40258667,127.10826385,HOME_019,판교알파리움2단지,seongnam,37.39333776,127.1094029,3
OD_000032,26,ORG_012,한국파스퇴르연구소,37.40647501,127.10270869,EXT_010,죽전역,yongin,37.32548448,127.10726611,3
OD_000033,26,ORG_013,차바이오컴플렉스,37.4041421,127.11129131,EXT_012,경기광주역,gwangju,37.39925633,127.25308413,3
OD_000034,26,ORG_014,경기창조경제혁신센터,37.40047572,127.10393097,EXT_009,수원역,suwon,37.26435073,126.99924985,3
OD_000035,25,ORG_001,LIG넥스원 판교하우스,37.4045865,127.11190235,EXT_008,광교중앙역,suwon,37.28845999,127.05163331,3
OD_000036,25,ORG_003,엔씨소프트 판교 R&D센터,37.39975366,127.10809728,HOME_009,판교백현마을7단지,seongnam,37.38956044,127.11026404,3
OD_000037,25,ORG_004,안랩,37.40083691,127.11023594,EXT_004,삼성역,seoul,37.50824028,127.06379268,3
OD_000038,25,ORG_004,안랩,37.40083691,127.11023594,EXT_013,미사역,hanam,37.56309735,127.19289048,3
OD_000039,25,ORG_005,NHN Play Museum,37.4007257,127.10412539,EXT_002,잠실역,seoul,37.5140458,127.09934484,3
OD_000040,25,ORG_007,위메이드 판교 사옥,37.40133688,127.11176357,EXT_007,사당역,seoul,37.47654804,126.98160661,3
OD_000041,25,ORG_008,카카오게임즈,37.39447653,127.10987504,HOME_021,성남 센트럴타운,seongnam,37.41864076,127.13056693,3
OD_000042,25,ORG_010,웹젠,37.40222547,127.10090342,EXT_002,잠실역,seoul,37.5140458,127.09934484,3
OD_000043,25,ORG_010,웹젠,37.40222547,127.10090342,HOME_007,판교원마을7단지,seongnam,37.38642159,127.09237686,3
OD_000044,25,ORG_010,웹젠,37.40222547,127.10090342,HOME_012,산운12단지 판교센트럴포레,seongnam,37.38969861,127.07129535,3
OD_000045,25,ORG_011,유라코퍼레이션,37.40258667,127.10826385,EXT_005,선릉역,seoul,37.50451822,127.04893303,3
OD_000046,25,ORG_015,유스페이스1,37.40011472,127.10762509,EXT_009,수원역,suwon,37.26435073,126.99924985,3
OD_000047,25,ORG_015,유스페이스1,37.40011472,127.10762509,HOME_024,성남두산,seongnam,37.44436034,127.14931449,3
OD_000048,24,ORG_004,안랩,37.40083691,127.11023594,EXT_005,선릉역,seoul,37.50451822,127.04893303,3
OD_000049,24,ORG_005,NHN Play Museum,37.4007257,127.10412539,EXT_008,광교중앙역,suwon,37.28845999,127.05163331,3
OD_000050,24,ORG_005,NHN Play Museum,37.4007257,127.10412539,HOME_015,산운마을14단지경남아너스빌아파트,seongnam,37.3841993,127.07415636,3
