status,location_id,input_name,search_query,location_type,region,region_hint,resolved_name,resolved_address,lat,lon,poi_id,match_score,source,cached,attempt_count,attempted_queries,error
resolved,EXT_001,강남역,강남역,external_hub,seoul,서울특별시,강남역[2호선],서울 강남구 역삼동,37.49804637,127.0279629,280181,60,tmap_poi,True,1,강남역,
resolved,EXT_002,잠실역,잠실역,external_hub,seoul,서울특별시,잠실역[2호선],서울 송파구 신천동,37.5140458,127.09934484,624344,60,tmap_poi,True,1,잠실역,
resolved,EXT_003,수서역,수서역,external_hub,seoul,서울특별시,수서역,서울 강남구 수서동,37.48366056,127.10606731,6820888,100,tmap_poi,True,1,수서역,
resolved,EXT_004,삼성역,삼성역,external_hub,seoul,서울특별시,삼성역[2호선],서울 강남구 삼성동,37.50824028,127.06379268,280178,60,tmap_poi,True,1,삼성역,
resolved,EXT_005,선릉역,선릉역,external_hub,seoul,서울특별시,선릉역[2호선],서울 강남구 삼성동,37.50451822,127.04893303,280179,60,tmap_poi,True,1,선릉역,
resolved,EXT_006,교대역,교대역,external_hub,seoul,서울특별시,교대역[2호선],서울 서초구 서초동,37.49399104,127.01435314,280182,60,tmap_poi,True,1,교대역,
resolved,EXT_007,사당역,사당역,external_hub,seoul,서울특별시,사당역[2호선],서울 동작구 사당동,37.47654804,126.98160661,280185,60,tmap_poi,True,1,사당역,
resolved,EXT_008,광교중앙역,광교중앙역,external_hub,suwon,수원시,광교중앙역[신분당선],경기 수원시 영통구 이의동,37.28845999,127.05163331,6518966,110,tmap_poi,True,1,광교중앙역,
resolved,EXT_009,수원역,수원역,external_hub,suwon,수원시,수원역,경기 수원시 팔달구 매산로1가,37.26435073,126.99924985,10367609,150,tmap_poi,True,1,수원역,
resolved,EXT_010,죽전역,죽전역,external_hub,yongin,용인시,죽전역[수인분당선],경기 용인시 수지구 죽전동,37.32548448,127.10726611,1167140,110,tmap_poi,True,1,죽전역,
resolved,EXT_011,기흥역,기흥역,external_hub,yongin,용인시,기흥역[용인경전철],경기 용인시 기흥구 구갈동,37.27601815,127.11693329,1933629,110,tmap_poi,True,1,기흥역,
resolved,EXT_012,경기광주역,경기광주역,external_hub,gwangju,광주시,경기광주역[경강선],경기 광주시 역동,37.39925633,127.25308413,6552665,110,tmap_poi,True,1,경기광주역,
resolved,EXT_013,미사역,미사역,external_hub,hanam,하남시,미사역[5호선],경기 하남시 망월동,37.56309735,127.19289048,8467712,110,tmap_poi,True,1,미사역,
resolved,HOME_001,성남판교백현마을2단지,성남판교백현마을2단지,seongnam_apartment,seongnam,성남시,백현마을2단지아파트,경기 성남시 분당구 백현동,37.39325459,127.11776325,1577354,50,tmap_poi,True,1,성남판교백현마을2단지,
resolved,HOME_002,판교푸르지오그랑블,판교푸르지오그랑블,seongnam_apartment,seongnam,성남시,판교푸르지오그랑블아파트,경기 성남시 분당구 백현동,37.39333789,127.11654114,1577373,110,tmap_poi,True,1,판교푸르지오그랑블,
resolved,HOME_003,봇들마을3단지아파트,봇들마을3단지아파트,seongnam_apartment,seongnam,성남시,판교봇들마을3단지아파트,경기 성남시 분당구 삼평동,37.40269792,127.1166242,1565444,110,tmap_poi,True,1,봇들마을3단지아파트,
resolved,HOME_004,봇들마을4단지,봇들마을4단지,seongnam_apartment,seongnam,성남시,봇들마을4단지아파트,경기 성남시 분당구 삼평동,37.40372558,127.11687415,1577335,110,tmap_poi,True,1,봇들마을4단지,
resolved,HOME_005,봇들마을7단지,봇들마을7단지,seongnam_apartment,seongnam,성남시,봇들마을7단지엔파트아파트,경기 성남시 분당구 삼평동,37.39639306,127.11495786,1577351,110,tmap_poi,True,1,봇들마을7단지,
resolved,HOME_006,백현마을5단지(주공),백현마을5단지아파트,seongnam_apartment,seongnam,성남시,백현마을5단지아파트,경기 성남시 분당구 백현동,37.39036594,127.11276379,1577381,150,tmap_poi,False,1,백현마을5단지아파트,
resolved,HOME_007,판교원마을7단지,판교원마을7단지,seongnam_apartment,seongnam,성남시,판교원마을7단지아파트,경기 성남시 분당구 판교동,37.38642159,127.09237686,4084589,110,tmap_poi,True,1,판교원마을7단지,
resolved,HOME_008,판교봇들마을9단지금호어울림아파트,판교봇들마을9단지금호어울림아파트,seongnam_apartment,seongnam,성남시,봇들마을9단지금호어울림아파트,경기 성남시 분당구 삼평동,37.39642089,127.11790204,1577338,90,tmap_poi,True,1,판교봇들마을9단지금호어울림아파트,
resolved,HOME_009,판교백현마을7단지,판교백현마을7단지,seongnam_apartment,seongnam,성남시,백현마을7단지휴먼시아아파트,경기 성남시 분당구 백현동,37.38956044,127.11026404,1577384,50,tmap_poi,True,1,판교백현마을7단지,
resolved,HOME_010,판교백현마을8단지,판교백현마을8단지,seongnam_apartment,seongnam,성남시,백현마을8단지아파트,경기 성남시 분당구 백현동,37.38725512,127.10859759,1577388,50,tmap_poi,True,1,판교백현마을8단지,
resolved,HOME_011,봇들마을휴먼시아8단지,봇들마을휴먼시아8단지,seongnam_apartment,seongnam,성남시,봇들마을휴먼시아8단지아파트,경기 성남시 분당구 삼평동,37.39603199,127.11490232,1577357,110,tmap_poi,True,1,봇들마을휴먼시아8단지,
resolved,HOME_012,산운12단지 판교센트럴포레,산운12단지 판교센트럴포레,seongnam_apartment,seongnam,성남시,산운마을12단지판교센트럴포레아파트,경기 성남시 분당구 운중동,37.38969861,127.07129535,1577445,50,tmap_poi,True,1,산운12단지 판교센트럴포레,
resolved,HOME_013,산운마을11단지판교포레라움아파트,산운마을11단지판교포레라움아파트,seongnam_apartment,seongnam,성남시,산운마을11단지판교포레라움아파트,경기 성남시 분당구 운중동,37.38947646,127.07393401,4084509,150,tmap_poi,True,1,산운마을11단지판교포레라움아파트,
resolved,HOME_014,산운마을13단지,산운마을13단지,seongnam_apartment,seongnam,성남시,산운마을13단지아파트,경기 성남시 분당구 운중동,37.38694898,127.07435071,1577535,110,tmap_poi,True,1,산운마을13단지,
resolved,HOME_015,산운마을14단지경남아너스빌아파트,산운마을14단지경남아너스빌아파트,seongnam_apartment,seongnam,성남시,산운마을경남아너스빌14단지아파트,경기 성남시 분당구 운중동,37.3841993,127.07415636,1577453,50,tmap_poi,True,1,산운마을14단지경남아너스빌아파트,
resolved,HOME_016,산운마을6단지신동아파밀리에,산운마을6단지신동아파밀리에,seongnam_apartment,seongnam,성남시,산운마을6단지아파트,경기 성남시 분당구 운중동,37.39322605,127.07507269,1577434,50,tmap_poi,True,1,산운마을6단지신동아파밀리에,
resolved,HOME_017,파크타운아파트,분당 파크타운아파트,seongnam_apartment,seongnam,성남시,파크타운롯데아파트,경기 성남시 분당구 수내동,37.372507,127.11812491,225355,50,tmap_poi,False,1,분당 파크타운아파트,
resolved,HOME_018,판교 알파리움1단지,판교 알파리움1단지,seongnam_apartment,seongnam,성남시,판교알파리움1단지아파트,경기 성남시 분당구 백현동,37.39603188,127.10859734,5656353,110,tmap_poi,True,1,판교 알파리움1단지,
resolved,HOME_019,판교알파리움2단지,판교알파리움2단지,seongnam_apartment,seongnam,성남시,판교알파리움2단지아파트,경기 성남시 분당구 백현동,37.39333776,127.1094029,5391791,110,tmap_poi,True,1,판교알파리움2단지,
resolved,HOME_020,판교대방노블랜드,판교대방노블랜드,seongnam_apartment,seongnam,성남시,판교대방노블랜드아파트,경기 성남시 분당구 운중동,37.39303163,127.07529489,4097065,110,tmap_poi,True,1,판교대방노블랜드,
resolved,HOME_021,성남 센트럴타운,성남센트럴타운아파트,seongnam_apartment,seongnam,성남시,센트럴타운아파트,경기 성남시 중원구 여수동,37.41864076,127.13056693,2821057,90,tmap_poi,False,1,성남센트럴타운아파트,
resolved,HOME_022,성남단대푸르지오,단대푸르지오아파트,seongnam_apartment,seongnam,성남시,단대푸르지오아파트,경기 성남시 수정구 단대동,37.4512208,127.15748022,2241323,150,tmap_poi,False,2,성남단대푸르지오아파트 | 단대푸르지오아파트,
resolved,HOME_023,성남동어울림아파트,성남동어울림아파트,seongnam_apartment,seongnam,성남시,성남동어울림아파트,경기 성남시 중원구 성남동,37.43038953,127.13773261,1136792,150,tmap_poi,True,1,성남동어울림아파트,
resolved,HOME_024,성남두산,성남두산,seongnam_apartment,seongnam,성남시,성남두산아파트,경기 성남시 수정구 신흥동,37.44436034,127.14931449,374599,110,tmap_poi,True,1,성남두산,
resolved,HOME_025,산성역 포레스티아 아파트,산성역 포레스티아 아파트,seongnam_apartment,seongnam,성남시,산성역포레스티아아파트,경기 성남시 수정구 신흥동,37.45080399,127.14689786,8466345,150,tmap_poi,True,1,산성역 포레스티아 아파트,
resolved,HOME_026,신흥역 하늘채 랜더스원 3단지,신흥역 하늘채 랜더스원 3단지,seongnam_apartment,seongnam,성남시,신흥역하늘채랜더스원3단지아파트,경기 성남시 중원구 중앙동,37.44002753,127.15028675,8922214,110,tmap_poi,True,1,신흥역 하늘채 랜더스원 3단지,
resolved,HOME_027,신흥역 하늘채 랜더스원 4단지,신흥역 하늘채 랜더스원 4단지,seongnam_apartment,seongnam,성남시,신흥역하늘채랜더스원4단지아파트,경기 성남시 중원구 중앙동,37.44030526,127.14978679,8922194,110,tmap_poi,True,1,신흥역 하늘채 랜더스원 4단지,
resolved,ORG_001,LIG넥스원 판교하우스,LIG넥스원 판교하우스,company,seongnam,성남시,LIG 디펜스&에어로스페이스 판교하우스R&D센터,경기 성남시 분당구 삼평동,37.4045865,127.11190235,2506828,50,tmap_poi,True,1,LIG넥스원 판교하우스,
resolved,ORG_002,넥슨코리아,넥슨코리아,company,seongnam,성남시,넥슨코리아,경기 성남시 분당구 삼평동,37.40230883,127.10306989,2906347,150,tmap_poi,True,1,넥슨코리아,
resolved,ORG_003,엔씨소프트 판교 R&D센터,엔씨소프트 판교 R&D센터,company,seongnam,성남시,엔씨판교R&D센터,경기 성남시 분당구 삼평동,37.39975366,127.10809728,2849469,50,tmap_poi,True,1,엔씨소프트 판교 R&D센터,
resolved,ORG_004,안랩,안랩,company,seongnam,성남시,안랩,경기 성남시 분당구 삼평동,37.40083691,127.11023594,981514,150,tmap_poi,True,1,안랩,
resolved,ORG_005,NHN Play Museum,NHN 플레이뮤지엄,company,seongnam,성남시,NHN플레이뮤지엄(성남) 전기차충전소,경기 성남시 분당구 삼평동,37.4007257,127.10412539,11294177,110,tmap_poi,False,1,NHN 플레이뮤지엄,
resolved,ORG_006,네오위즈 판교타워,네오위즈 판교타워,company,seongnam,성남시,네오위즈판교타워,경기 성남시 분당구 삼평동,37.40047572,127.10387542,5387232,150,tmap_poi,True,1,네오위즈 판교타워,
resolved,ORG_007,위메이드 판교 사옥,위메이드타워,company,seongnam,성남시,위메이드타워,경기 성남시 분당구 삼평동,37.40133688,127.11176357,5888704,150,tmap_poi,False,1,위메이드타워,
resolved,ORG_008,카카오게임즈,카카오게임즈,company,seongnam,성남시,카카오게임즈,경기 성남시 분당구 백현동,37.39447653,127.10987504,6508888,150,tmap_poi,True,1,카카오게임즈,
resolved,ORG_009,스마일게이트,스마일게이트,company,seongnam,성남시,스마일게이트캠퍼스,경기 성남시 분당구 삼평동,37.40258673,127.11179131,2819486,110,tmap_poi,True,1,스마일게이트,
resolved,ORG_010,웹젠,웹젠,company,seongnam,성남시,웹젠,경기 성남시 분당구 삼평동,37.40222547,127.10090342,6327390,150,tmap_poi,True,1,웹젠,
resolved,ORG_011,유라코퍼레이션,유라코퍼레이션,company,seongnam,성남시,유라코퍼레이션,경기 성남시 분당구 삼평동,37.40258667,127.10826385,2264999,150,tmap_poi,True,1,유라코퍼레이션,
resolved,ORG_012,한국파스퇴르연구소,한국파스퇴르연구소,research_institute,seongnam,성남시,한국파스퇴르연구소,경기 성남시 분당구 삼평동,37.40647501,127.10270869,1587122,150,tmap_poi,True,1,한국파스퇴르연구소,
resolved,ORG_013,차바이오컴플렉스,차바이오컴플렉스,research_facility,seongnam,성남시,차바이오컴플렉스,경기 성남시 분당구 삼평동,37.4041421,127.11129131,2849159,150,tmap_poi,True,1,차바이오컴플렉스,
resolved,ORG_014,경기창조경제혁신센터,경기창조경제혁신센터,office_building,seongnam,성남시,경기창조경제혁신센터,경기 성남시 분당구 삼평동,37.40047572,127.10393097,6289967,150,tmap_poi,True,1,경기창조경제혁신센터,
resolved,ORG_015,유스페이스1,유스페이스1,office_building,seongnam,성남시,유스페이스 1동,경기 성남시 분당구 삼평동,37.40011472,127.10762509,2875928,110,tmap_poi,True,1,유스페이스1,
