sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,repair_inserted
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,False
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,False
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,False
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,False
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,False
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,False
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,4.37,False
7,2060171901,2060054404,2060054403,양현로,12.47,50.0,6.25,True
8,2060169102,2060054403,2060054402,장미로,12.06,50.0,0.0,True
9,2060164501,2060054402,2060054401,양현로,12.09,50.0,5.08,True
10,2060171601,2060054401,2060054404,장미로,12.4,50.0,0.0,False
11,2060171901,2060054404,2060054403,양현로,12.47,50.0,6.25,True
12,2060164400,2060054403,2060052004,양현로,164.7,50.0,1.3,False
13,2060164401,2060052004,2060052003,양현로,13.65,50.0,6.44,True
14,2060164302,2060052003,2060052002,성남대로925번길,13.66,60.0,0.0,False
15,2060162101,2060052002,2060052001,양현로,13.65,50.0,5.34,True
16,2060164201,2060052001,2060052004,성남대로925번길,13.65,60.0,0.0,True
17,2060164401,2060052004,2060052003,양현로,13.65,50.0,6.44,True
18,2060162000,2060052003,2060051204,양현로,110.29,50.0,6.1,False
19,2060162001,2060051204,2060051203,양현로,13.48,50.0,6.13,True
20,2060161702,2060051203,2060051202,양현로310번길,13.47,50.0,0.0,False
21,2060154301,2060051202,2060051201,양현로,13.47,50.0,5.73,True
22,2060161601,2060051201,2060051204,양현로310번길,13.48,50.0,0.0,True
23,2060162001,2060051204,2060051203,양현로,13.48,50.0,6.13,True
24,2060154200,2060051203,2060048804,양현로,200.56,50.0,5.17,False
25,2060154201,2060048804,2060048803,양현로,12.0,50.0,5.16,True
26,2060152501,2060048803,2060048802,야탑로,12.02,50.0,0.0,True
27,2060152101,2060048802,2060048801,양현로,12.0,30.0,6.74,True
28,2060154001,2060048801,2060048804,야탑로,12.01,50.0,0.0,False
29,2060154201,2060048804,2060048803,양현로,12.0,50.0,5.16,True
30,2060152000,2060048803,2060046802,양현로,181.91,30.0,3.43,False
31,2060142700,2060046802,2060044504,양현로,272.04,30.0,0.0,False
32,2060140501,2060044504,2060044503,양현로,12.0,30.0,4.55,True
33,2060140301,2060044503,2060044502,판교로,12.0,50.0,16.34,True
34,2060138201,2060044502,2060044501,양현로,12.0,30.0,8.11,True
35,2060140400,2060044501,2060045202,양현로,46.53,30.0,4.51,True
36,2060139600,2060045202,2060044304,판교로479번길,155.86,50.0,4.51,False
37,2060142700,2060046802,2060044504,양현로,272.04,30.0,0.0,False
38,2060140200,2060044504,2060044601,판교로,150.76,30.0,3.29,False
39,2060140201,2060044601,2060044604,판교로,12.04,30.0,3.92,False
40,2060140600,2060044604,2060044801,판교로,163.78,50.0,2.54,False
41,2060140601,2060044801,2060044804,판교로,12.0,50.0,3.12,False
42,2060141200,2060044804,2060290400,판교로,71.96,50.0,3.14,False
43,2060141202,2060290400,2060044901,판교로,129.82,50.0,0.0,False
44,2060135800,2060047702,2060043202,분당수서로,597.76,80.0,0.0,False
45,2060359800,2060044904,2060300900,판교로,128.4,50.0,2.3,False
46,2060359802,2060300900,2060109601,판교로,150.13,50.0,5.23,False
47,2060359801,2060109601,2060109604,판교로,10.76,50.0,4.97,True
48,2060360001,2060109604,2060109603,동판교로,12.09,30.0,0.0,True
49,2060359501,2060109603,2060109602,판교로,10.81,50.0,6.68,True
50,2060358901,2060109602,2060109601,동판교로,12.16,30.0,0.0,False
51,2060359801,2060109601,2060109604,판교로,10.76,50.0,4.97,True
52,2060359600,2060109604,2060060702,판교로,71.64,50.0,4.59,False
53,2060359601,2060060702,2060060705,판교로,12.0,50.0,4.58,False
54,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,False
55,2060359201,2060060706,2060060709,판교로,22.56,50.0,6.1,True
56,2060359401,2060060709,2060060708,분당내곡로,12.78,50.0,0.0,True
57,2060181307,2060060708,2060060707,판교로,22.49,50.0,5.87,True
58,2060182001,2060060707,2060060706,분당내곡로,12.96,50.0,0.0,False
59,2060112202,2060109102,2060311900,분당내곡간도시고속화도로,762.43,80.0,0.0,False
60,2060181802,2060060709,2060068002,판교로,265.92,50.0,6.2,False
61,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,True
62,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,False
63,2060181305,2060068004,2060068003,판교로,12.91,50.0,0.0,True
64,2060207006,2060068003,2060068002,판교역로,12.7,60.0,0.0,False
65,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,True
66,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,False
67,2060207101,2060068004,2060066919,판교역로,74.52,60.0,2.91,False
68,2060207107,2060066919,2060066918,판교역로,12.0,60.0,3.77,False
69,2060207103,2060066918,2060066907,판교역로,152.61,50.0,3.81,False
70,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,True
71,2060351501,2060066906,2060066905,판교역로,12.91,50.0,0.0,True
72,2060207005,2060066905,2060066904,판교역로,12.0,50.0,8.09,True
73,2060351001,2060066904,2060066907,판교역로226번길,12.91,50.0,0.0,False
74,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,True
75,2060207104,2060066906,2060066915,판교역로,112.73,60.0,4.81,False
76,2060207106,2060066915,2060066914,판교역로,7.46,60.0,5.21,True
77,2060197600,2060066914,2060066309,판교역로,225.17,50.0,4.41,False
78,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,True
79,2060205205,2060066308,2060066307,판교역로192번길,13.57,50.0,0.0,True
80,2060194101,2060066307,2060066306,판교역로,7.15,50.0,9.11,True
81,2060205104,2060066306,2060066309,판교역로192번길,13.52,60.0,0.0,False
82,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,True
83,2060194200,2060066308,2060066204,판교역로,161.98,50.0,4.45,False
84,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,True
85,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,True
86,2060195601,2060066202,2060066201,판교역로,8.23,50.0,0.0,False
87,2060193803,2060066201,2060066204,대왕판교로606번길,13.57,60.0,0.0,True
88,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,True
89,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,True
90,2060194001,2060066202,2060066012,대왕판교로606번길,58.08,60.0,3.88,False
91,2060194002,2060066012,2060066009,대왕판교로606번길,214.23,50.0,5.21,False
