sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,route_position_m
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,306.37
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,464.77
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,515.82
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,558.64
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,619.7
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,766.83
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,4.37,916.73
7,2060171901,2060054404,2060054403,양현로,12.47,50.0,6.25,950.66
8,2060164400,2060054403,2060052004,양현로,164.7,50.0,1.3,1037.89
9,2060164401,2060052004,2060052003,양현로,13.65,50.0,6.44,1126.93
10,2060162000,2060052003,2060051204,양현로,110.29,50.0,6.1,1188.76
11,2060162001,2060051204,2060051203,양현로,13.48,50.0,6.13,1250.71
12,2060154200,2060051203,2060048804,양현로,200.56,50.0,5.17,1358.87
13,2060154201,2060048804,2060048803,양현로,12.0,50.0,5.16,1465.06
14,2060152000,2060048803,2060046802,양현로,181.91,30.0,3.43,1562.04
15,2060142700,2060046802,2060044504,양현로,272.04,30.0,0.0,1790.66
16,2060140200,2060044504,2060044601,판교로,150.76,30.0,3.29,2002.63
17,2060140201,2060044601,2060044604,판교로,12.04,30.0,3.92,2084.01
18,2060140600,2060044604,2060044801,판교로,163.78,50.0,2.54,2171.71
19,2060140601,2060044801,2060044804,판교로,12.0,50.0,3.12,2259.64
20,2060141200,2060044804,2060290400,판교로,71.96,50.0,3.14,2301.58
21,2060141202,2060290400,2060044901,판교로,129.82,50.0,0.0,2403.35
22,2060141201,2060044901,2060044904,판교로,22.85,50.0,4.92,2479.57
23,2060359800,2060044904,2060300900,판교로,128.4,50.0,2.3,2553.84
24,2060359802,2060300900,2060109601,판교로,150.13,50.0,5.23,2692.05
25,2060359801,2060109601,2060109604,판교로,10.76,50.0,4.97,2772.36
26,2060359600,2060109604,2060060702,판교로,71.64,50.0,4.59,2813.49
27,2060359601,2060060702,2060060705,판교로,12.0,50.0,4.58,2855.25
28,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,2969.6
29,2060359201,2060060706,2060060709,판교로,22.56,50.0,6.1,3090.14
30,2060181802,2060060709,2060068002,판교로,265.92,50.0,6.2,3234.5
31,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,3373.45
32,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,3377.3
33,2060207101,2060068004,2060066919,판교역로,74.52,60.0,2.91,3420.86
34,2060207107,2060066919,2060066918,판교역로,12.0,60.0,3.77,3464.12
35,2060207103,2060066918,2060066907,판교역로,152.61,50.0,3.81,3546.45
36,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,3628.76
37,2060207104,2060066906,2060066915,판교역로,112.73,60.0,4.81,3691.13
38,2060207106,2060066915,2060066914,판교역로,7.46,60.0,5.21,3751.2
39,2060197600,2060066914,2060066309,판교역로,225.17,50.0,4.41,3867.5
40,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,3983.52
41,2060194200,2060066308,2060066204,판교역로,161.98,50.0,4.45,4067.96
42,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,4153.04
43,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,4154.49
44,2060194001,2060066202,2060066012,대왕판교로606번길,58.08,60.0,3.88,4190.29
45,2060194002,2060066012,2060066009,대왕판교로606번길,214.23,50.0,5.21,4291.48
