sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,repair_inserted
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,False
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,False
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,False
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,False
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,False
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,False
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,2.13,False
7,2060171901,2060054404,2060054403,양현로,12.47,50.0,0.0,True
8,2060169102,2060054403,2060054402,장미로,12.06,50.0,10.07,True
9,2060164501,2060054402,2060054401,양현로,12.09,50.0,5.08,True
10,2060171601,2060054401,2060054404,장미로,12.4,50.0,0.0,False
11,2060169000,2060054404,2060053401,장미로,163.0,50.0,1.37,False
12,2060169001,2060053401,2060053404,장미로,12.0,50.0,0.0,True
13,2060169201,2060053404,2060053403,탄천로,12.02,50.0,6.87,True
14,2060169101,2060053403,2060053402,장미로,12.0,50.0,1.22,True
15,2060152701,2060053402,2060053401,탄천로,12.01,50.0,0.0,False
16,2060169300,2060053401,2049188300,탄천로,392.07,50.0,4.26,False
17,2050210904,2060275000,2060274800,수도권제1순환고속도로,200.66,100.0,0.0,False
18,2060169300,2060053401,2049188300,탄천로,392.07,50.0,4.26,False
19,2060169303,2049188300,2040004702,탄천로,256.87,50.0,5.72,False
20,2040411800,2040004601,2040004901,분당수서로,264.21,80.0,0.0,False
21,2060169303,2049188300,2040004702,탄천로,256.87,50.0,5.72,False
22,2060169301,2040004702,2040004701,탄천로,12.66,50.0,12.41,True
23,2040411501,2040004701,2040004704,사송로,12.0,50.0,0.67,True
24,2040411500,2040004704,2040004502,사송로,403.38,50.0,0.0,False
25,2040008203,2040004502,2040024302,사송로,37.68,60.0,1.08,False
26,2040008205,2040024302,2040024305,사송로,12.71,60.0,0.5,True
27,2040008204,2040024305,2049004000,사송로,87.71,50.0,0.0,False
28,2040008208,2049004000,2040024309,사송로,51.05,50.0,2.68,False
29,2040008206,2040024309,2040024308,사송로,10.9,50.0,8.84,True
30,2040008106,2040024308,2040024307,사송로,12.66,30.0,0.0,False
31,2040410601,2040024307,2040024306,동판교로,6.88,60.0,3.67,True
32,2040008207,2040024306,2040024309,사송로,15.08,30.0,0.0,True
33,2040008206,2040024309,2040024308,사송로,10.9,50.0,8.84,True
34,2040410700,2040024308,2049124300,동판교로,328.57,60.0,4.25,False
35,2040410701,2049124300,2060109202,동판교로,375.89,60.0,3.65,False
36,2060360600,2060109202,2060306000,동판교로,51.39,30.0,3.34,False
37,2060360603,2060306000,2060299900,동판교로,138.31,30.0,3.26,False
38,2060360602,2060299900,2060109404,동판교로,98.45,30.0,3.17,False
39,2060360401,2060109404,2060109403,동판교로,12.0,30.0,3.17,False
40,2060360200,2060109403,2060109504,동판교로,118.22,30.0,3.34,False
41,2060360201,2060109504,2060109503,동판교로,12.01,30.0,6.28,True
42,2060360000,2060109503,2060109604,동판교로,43.96,30.0,4.97,False
43,2060360001,2060109604,2060109603,동판교로,12.09,30.0,0.0,True
44,2060359501,2060109603,2060109602,판교로,10.81,50.0,6.8,True
45,2060358901,2060109602,2060109601,동판교로,12.16,30.0,3.45,True
46,2060359801,2060109601,2060109604,판교로,10.76,50.0,0.0,False
47,2060359600,2060109604,2060060702,판교로,71.64,50.0,4.59,False
48,2060359601,2060060702,2060060705,판교로,12.0,50.0,4.58,True
49,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,False
50,2060112202,2060109102,2060311900,분당내곡간도시고속화도로,762.43,80.0,0.0,False
51,2060181802,2060060709,2060068002,판교로,265.92,50.0,6.2,False
52,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,True
53,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,True
54,2060181305,2060068004,2060068003,판교로,12.91,50.0,0.0,True
55,2060207006,2060068003,2060068002,판교역로,12.7,60.0,0.0,False
56,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,True
57,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,True
58,2060207101,2060068004,2060066919,판교역로,74.52,60.0,2.91,False
59,2060207107,2060066919,2060066918,판교역로,12.0,60.0,3.77,False
60,2060207103,2060066918,2060066907,판교역로,152.61,50.0,3.81,False
61,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,True
62,2060351501,2060066906,2060066905,판교역로,12.91,50.0,0.0,True
63,2060207005,2060066905,2060066904,판교역로,12.0,50.0,8.09,True
64,2060351001,2060066904,2060066907,판교역로226번길,12.91,50.0,0.0,False
65,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,True
66,2060207104,2060066906,2060066915,판교역로,112.73,60.0,4.81,False
67,2060207106,2060066915,2060066914,판교역로,7.46,60.0,5.21,True
68,2060197600,2060066914,2060066309,판교역로,225.17,50.0,4.41,False
69,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,True
70,2060205205,2060066308,2060066307,판교역로192번길,13.57,50.0,0.0,False
71,2060194101,2060066307,2060066306,판교역로,7.15,50.0,9.11,True
72,2060205104,2060066306,2060066309,판교역로192번길,13.52,60.0,0.0,True
73,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,True
74,2060194200,2060066308,2060066204,판교역로,161.98,50.0,4.45,False
75,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,True
76,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,True
77,2060194001,2060066202,2060066012,대왕판교로606번길,58.08,60.0,3.88,False
78,2060352600,2060107703,2060066014,대왕판교로606번길,97.59,30.0,3.15,False
79,2060193802,2060066014,2060066201,대왕판교로606번길,46.12,60.0,3.15,True
80,2060193803,2060066201,2060066204,대왕판교로606번길,13.57,60.0,0.0,True
81,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,True
82,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,True
83,2060194001,2060066202,2060066012,대왕판교로606번길,58.08,60.0,3.88,False
84,2060194002,2060066012,2060066009,대왕판교로606번길,214.23,50.0,5.21,False
