sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,route_position_m
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,306.37
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,464.77
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,515.82
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,558.64
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,619.7
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,766.83
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,2.13,916.73
7,2060169000,2060054404,2060053401,장미로,163.0,50.0,1.37,1031.91
8,2060169300,2060053401,2049188300,탄천로,392.07,50.0,4.26,1327.0
9,2060169303,2049188300,2040004702,탄천로,256.87,50.0,5.72,1652.49
10,2060169301,2040004702,2040004701,탄천로,12.66,50.0,12.41,1786.89
11,2040411501,2040004701,2040004704,사송로,12.0,50.0,0.67,1793.34
12,2040411500,2040004704,2040004502,사송로,403.38,50.0,0.0,2007.85
13,2040008203,2040004502,2040024302,사송로,37.68,60.0,1.08,2228.33
14,2040008205,2040024302,2040024305,사송로,12.71,60.0,0.5,2253.51
15,2040008204,2040024305,2049004000,사송로,87.71,50.0,0.0,2303.7
16,2040008208,2049004000,2040024309,사송로,51.05,50.0,2.68,2372.06
17,2040008206,2040024309,2040024308,사송로,10.9,50.0,8.84,2399.26
18,2040410700,2040024308,2049124300,동판교로,328.57,60.0,4.25,2565.22
19,2040410701,2049124300,2060109202,동판교로,375.89,60.0,3.65,2917.11
20,2060360600,2060109202,2060306000,동판교로,51.39,30.0,3.34,3131.12
21,2060360603,2060306000,2060299900,동판교로,138.31,30.0,3.26,3226.28
22,2060360602,2060299900,2060109404,동판교로,98.45,30.0,3.17,3344.93
23,2060360401,2060109404,2060109403,동판교로,12.0,30.0,3.17,3400.04
24,2060360200,2060109403,2060109504,동판교로,118.22,30.0,3.34,3464.65
25,2060352000,2060109504,2060060705,동판교로,135.82,40.0,4.58,3661.44
26,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,3782.8
27,2060359201,2060060706,2060060709,판교로,22.56,50.0,6.1,3903.33
28,2060181802,2060060709,2060068002,판교로,265.92,50.0,6.2,4047.7
29,2060181805,2060068002,2060068005,판교로,12.0,50.0,6.36,4186.64
30,2060348002,2060068005,2060068004,판교로319번길,12.72,50.0,2.55,4190.5
31,2060207101,2060068004,2060066919,판교역로,74.52,60.0,2.91,4234.06
32,2060207107,2060066919,2060066918,판교역로,12.0,60.0,3.77,4277.32
33,2060207103,2060066918,2060066907,판교역로,152.61,50.0,3.81,4359.64
34,2060207105,2060066907,2060066906,판교역로,12.0,50.0,4.74,4441.96
35,2060207104,2060066906,2060066915,판교역로,112.73,60.0,4.81,4504.32
36,2060207106,2060066915,2060066914,판교역로,7.46,60.0,5.21,4564.39
37,2060197600,2060066914,2060066309,판교역로,225.17,50.0,4.41,4680.69
38,2060197601,2060066309,2060066308,판교역로,6.87,50.0,4.41,4796.71
39,2060194200,2060066308,2060066204,판교역로,161.98,50.0,4.45,4881.15
40,2060194201,2060066204,2060066203,판교역로,8.22,50.0,5.72,4966.23
41,2060197801,2060066203,2060066202,대왕판교로606번길,13.58,50.0,3.68,4967.68
42,2060194001,2060066202,2060066012,대왕판교로606번길,58.08,60.0,3.88,5003.49
43,2060194002,2060066012,2060066009,대왕판교로606번길,214.23,50.0,5.21,5104.68
