sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,repair_inserted
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,False
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,False
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,False
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,False
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,False
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,False
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,2.13,False
7,2060171901,2060054404,2060054403,양현로,12.47,50.0,0.0,True
8,2060169102,2060054403,2060054402,장미로,12.06,50.0,10.07,True
9,2060164501,2060054402,2060054401,양현로,12.09,50.0,5.08,True
10,2060171601,2060054401,2060054404,장미로,12.4,50.0,0.0,False
11,2060169000,2060054404,2060053401,장미로,163.0,50.0,1.37,False
12,2060169001,2060053401,2060053404,장미로,12.0,50.0,10.29,True
13,2060169201,2060053404,2060053403,탄천로,12.02,50.0,6.87,False
14,2060152600,2060053403,2060281000,탄천로,179.33,50.0,6.9,False
15,2060152602,2060281000,2060048404,탄천로,287.71,50.0,2.87,False
16,2060152601,2060048404,2060048403,탄천로,12.0,50.0,3.01,True
17,2060151701,2060048403,2060048402,야탑로,12.08,50.0,0.0,False
18,2060151301,2060048402,2060048401,탄천로,12.05,50.0,8.56,True
19,2060152401,2060048401,2060048404,야탑로,12.0,50.0,0.0,True
20,2060152601,2060048404,2060048403,탄천로,12.0,50.0,3.01,True
21,2060151200,2060048403,2060048004,탄천로,44.93,50.0,0.0,False
22,2060151201,2060048004,2060048003,탄천로,12.02,50.0,0.63,True
23,2060142800,2060048003,2060045304,탄천로,291.83,30.0,0.0,False
24,2060142801,2060045304,2060045303,탄천로,12.0,30.0,6.06,True
25,2060140800,2060045303,2060044604,탄천로,48.5,30.0,0.0,False
26,2060140600,2060044604,2060044801,판교로,163.78,50.0,2.54,False
27,2060140601,2060044801,2060044804,판교로,12.0,50.0,3.12,False
28,2060141200,2060044804,2060290400,판교로,71.96,50.0,3.14,False
29,2060141202,2060290400,2060044901,판교로,129.82,50.0,0.0,False
30,2060135800,2060047702,2060043202,분당수서로,597.76,80.0,0.0,False
31,2060359800,2060044904,2060300900,판교로,128.4,50.0,2.3,False
32,2060359802,2060300900,2060109601,판교로,150.13,50.0,5.23,False
33,2060359801,2060109601,2060109604,판교로,10.76,50.0,4.97,True
34,2060359600,2060109604,2060060702,판교로,71.64,50.0,4.59,False
35,2060359601,2060060702,2060060705,판교로,12.0,50.0,4.58,False
36,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,False
37,2060359201,2060060706,2060060709,판교로,22.56,50.0,6.1,True
38,2060359401,2060060709,2060060708,분당내곡로,12.78,50.0,0.0,True
39,2060181307,2060060708,2060060707,판교로,22.49,50.0,2.62,True
40,2060182001,2060060707,2060060706,분당내곡로,12.96,50.0,0.0,False
41,2060112202,2060109102,2060311900,분당내곡간도시고속화도로,762.43,80.0,0.0,False
42,2060181900,2060060708,2060060504,분당내곡로,365.9,50.0,0.0,False
43,2060181901,2060060504,2060060503,분당내곡로,7.36,50.0,0.49,False
44,2060194600,2060060503,2060066404,분당내곡로,161.54,50.0,0.0,False
45,2060194601,2060066404,2060066403,분당내곡로,7.15,50.0,0.18,True
46,2060193601,2060066403,2060066006,분당내곡로,116.61,60.0,0.0,False
47,2060193603,2060066006,2060066005,분당내곡로,12.0,60.0,0.81,False
48,2060332801,2060066005,2060066004,대왕판교로606번길,22.42,30.0,3.35,True
49,2060194404,2060066004,2060066003,분당내곡로,12.0,60.0,23.23,True
50,2060332901,2060066003,2060066006,대왕판교로606번길,22.42,30.0,0.81,True
51,2060332900,2060066006,2060107501,대왕판교로606번길,41.08,30.0,0.0,False
52,2060332902,2060107501,2060107504,대왕판교로606번길,11.9,30.0,10.17,True
53,2060353001,2060107504,2060107503,대왕판교로606번길,12.0,30.0,1.5,True
54,2060357700,2060107503,2060107902,대왕판교로606번길,49.03,30.0,0.66,False
55,2060353200,2060107902,2060107602,대왕판교로606번길,91.58,30.0,0.66,True
56,2060353201,2060107602,2060107601,대왕판교로606번길,12.0,30.0,45.94,True
57,2060352301,2060107601,2060107604,대왕판교로606번길,12.0,30.0,47.14,True
58,2060333001,2060107604,2060107603,대왕판교로606번길,12.0,30.0,57.93,True
59,2060353300,2060107603,2060107901,대왕판교로606번길,122.87,30.0,0.0,False
60,2060193805,2060285500,2060066011,대왕판교로606번길,167.72,50.0,0.0,False
61,2060193804,2060066011,2060066014,대왕판교로606번길,12.0,50.0,3.03,False
62,2060193802,2060066014,2060066201,대왕판교로606번길,46.12,60.0,3.15,False
63,2060193804,2060066011,2060066014,대왕판교로606번길,12.0,50.0,3.03,False
64,2060193805,2060285500,2060066011,대왕판교로606번길,167.72,50.0,0.0,False
