sequence,LINK_ID,F_NODE,T_NODE,ROAD_NAME,LENGTH,MAX_SPD,route_distance_m,route_position_m
0,2050202503,2059059500,2059015600,성남대로997번길,234.21,60.0,0.02,306.37
1,2050202502,2059015600,2060055010,성남대로997번길,82.59,60.0,0.0,464.77
2,2060173202,2060055010,2060288300,양현로,19.58,30.0,1.23,515.82
3,2060173209,2060288300,2060284100,양현로,66.08,30.0,0.0,558.64
4,2060173207,2060284100,2060288100,양현로,58.89,30.0,1.22,619.7
5,2060173208,2060288100,2060055012,양현로,242.46,30.0,2.03,766.83
6,2060171900,2060055012,2060054404,양현로,57.39,50.0,2.13,916.73
7,2060169000,2060054404,2060053401,장미로,163.0,50.0,1.37,1031.91
8,2060169001,2060053401,2060053404,장미로,12.0,50.0,10.29,1120.42
9,2060169201,2060053404,2060053403,탄천로,12.02,50.0,6.87,1120.52
10,2060152600,2060053403,2060281000,탄천로,179.33,50.0,6.9,1211.2
11,2060152602,2060281000,2060048404,탄천로,287.71,50.0,2.87,1445.23
12,2060152601,2060048404,2060048403,탄천로,12.0,50.0,3.01,1596.0
13,2060151200,2060048403,2060048004,탄천로,44.93,50.0,0.0,1624.36
14,2060151201,2060048004,2060048003,탄천로,12.02,50.0,0.63,1652.74
15,2060142800,2060048003,2060045304,탄천로,291.83,30.0,0.0,1805.65
16,2060141400,2060045304,2060044804,판교로429번길,232.25,10.0,0.0,2130.73
17,2060141200,2060044804,2060290400,판교로,71.96,50.0,3.14,2224.32
18,2060141202,2060290400,2060044901,판교로,129.82,50.0,0.0,2326.09
19,2060141201,2060044901,2060044904,판교로,22.85,50.0,4.92,2402.31
20,2060359800,2060044904,2060300900,판교로,128.4,50.0,2.3,2476.59
21,2060359802,2060300900,2060109601,판교로,150.13,50.0,5.23,2614.79
22,2060359801,2060109601,2060109604,판교로,10.76,50.0,4.97,2695.1
23,2060359600,2060109604,2060060702,판교로,71.64,50.0,4.59,2736.23
24,2060359601,2060060702,2060060705,판교로,12.0,50.0,4.58,2777.99
25,2060359200,2060060705,2060060706,판교로,213.93,50.0,4.58,2892.35
26,2060359201,2060060706,2060060709,판교로,22.56,50.0,6.1,3012.88
27,2060359401,2060060709,2060060708,분당내곡로,12.78,50.0,0.0,3023.57
28,2060181900,2060060708,2060060504,분당내곡로,365.9,50.0,0.0,3215.38
29,2060181901,2060060504,2060060503,분당내곡로,7.36,50.0,0.49,3402.02
30,2060194600,2060060503,2060066404,분당내곡로,161.54,50.0,0.0,3486.48
31,2060194601,2060066404,2060066403,분당내곡로,7.15,50.0,0.18,3570.83
32,2060193601,2060066403,2060066006,분당내곡로,116.61,60.0,0.0,3632.72
33,2060193603,2060066006,2060066005,분당내곡로,12.0,60.0,0.81,3697.02
34,2060193602,2060066005,2060066010,분당내곡로,98.53,50.0,3.35,3801.16
35,2060193801,2060066010,2060285500,대왕판교로606번길,46.51,50.0,5.93,3850.9
36,2060193805,2060285500,2060066011,대왕판교로606번길,167.72,50.0,0.0,3930.7
